date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:12	81284/81284	---M--	200	added ('OK')	font/woff	date:Thu,%2001%20Sep%202016%2017:09:35%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.woff?v=4.4.0	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fontawesome-webfont93e3.woff	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
10:32:20	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:09:42%20GMT	http://themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.eot	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.eot	(from http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css)
10:32:21	59572/59572	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:09:42%20GMT	http://themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.eot?	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fonts/ElegantIconsd41d.eot	(from http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css)
10:32:25	63664/63664	---M--	200	added ('OK')	font/woff	date:Thu,%2001%20Sep%202016%2017:09:51%20GMT	http://themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.woff	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.woff	(from http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css)
10:32:27	277297/277297	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Sep%202016%2017:09:47%20GMT	http://themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.svg	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.svg	(from http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css)
10:32:29	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:08:56%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
10:32:30	138204/138204	---M--	200	added ('OK')	font/ttf	date:Thu,%2001%20Sep%202016%2017:09:32%20GMT	http://themestarz.net/html/propper/assets/fonts/fontawesome-webfont.ttf?v=4.4.0	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fontawesome-webfont93e3.ttf	(from http://themestarz.net/html/propper/assets/fonts/font-awesome.css)
10:32:31	18028/18028	---M--	200	added ('OK')	font/woff2	date:Thu,%2001%20Sep%202016%2017:09:02%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
10:32:31	59388/59388	---M--	200	added ('OK')	font/ttf	date:Thu,%2001%20Sep%202016%2017:09:49%20GMT	http://themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.ttf	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/fonts/fonts/ElegantIcons.ttf	(from http://themestarz.net/html/propper/assets/fonts/elegant-fonts.css)
10:32:33	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Sep%202016%2017:08:56%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
10:32:34	23424/23424	---M--	200	added ('OK')	font/woff	date:Thu,%2001%20Sep%202016%2017:09:01%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
10:32:35	45404/45404	---M--	200	added ('OK')	font/ttf	date:Thu,%2001%20Sep%202016%2017:09:00%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
10:32:43	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Sep%202016%2017:08:58%20GMT	http://themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://themestarz.net/html/propper/assets/bootstrap/css/bootstrap.css)
10:32:58	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Dec%202022%2016:48:32%20GMT	http://themestarz.net/html/propper/assets/css/owl.video.play.png	C:/My%20Web%20Sites/wee/themestarz.net/html/propper/assets/css/owl.video.play.png	(from http://themestarz.net/html/propper/assets/css/owl.carousel.css)
